id,frontendId,title,translatedTitle,difficulty,status,paidOnly,acRate,isInMyFavorites,titleSlug,url,topicTags
15,15,3Sum,三数之和,MEDIUM,TO_DO,False,0.40328208623335793,False,3sum,https://leetcode.cn/problems/3sum/description/,数组;双指针;排序
16,16,3Sum Closest,最接近的三数之和,MEDIUM,TO_DO,False,0.4485007719356489,False,3sum-closest,https://leetcode.cn/problems/3sum-closest/description/,数组;双指针;排序
17,17,Letter Combinations of a Phone Number,电话号码的字母组合,MEDIUM,SOLVED,False,0.6342824368060961,False,letter-combinations-of-a-phone-number,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/description/,哈希表;字符串;回溯
18,18,4Sum,四数之和,MEDIUM,TO_DO,False,0.36919473421058613,False,4sum,https://leetcode.cn/problems/4sum/description/,数组;双指针;排序
19,19,Remove Nth Node From End of List,删除链表的倒数第 N 个结点,MEDIUM,SOLVED,False,0.5301137329646631,False,remove-nth-node-from-end-of-list,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/description/,链表;双指针
20,20,Valid Parentheses,有效的括号,EASY,SOLVED,False,0.4549493944496998,False,valid-parentheses,https://leetcode.cn/problems/valid-parentheses/description/,栈;字符串
21,21,Merge Two Sorted Lists,合并两个有序链表,EASY,SOLVED,False,0.6814815888407951,False,merge-two-sorted-lists,https://leetcode.cn/problems/merge-two-sorted-lists/description/,递归;链表
22,22,Generate Parentheses,括号生成,MEDIUM,SOLVED,False,0.790707735011995,False,generate-parentheses,https://leetcode.cn/problems/generate-parentheses/description/,字符串;动态规划;回溯
23,23,Merge k Sorted Lists,合并 K 个升序链表,HARD,SOLVED,False,0.6357284424450247,False,merge-k-sorted-lists,https://leetcode.cn/problems/merge-k-sorted-lists/description/,链表;分治;堆（优先队列）;归并排序
24,24,Swap Nodes in Pairs,两两交换链表中的节点,MEDIUM,SOLVED,False,0.7497155408245685,False,swap-nodes-in-pairs,https://leetcode.cn/problems/swap-nodes-in-pairs/description/,递归;链表
25,25,Reverse Nodes in k-Group,K 个一组翻转链表,HARD,SOLVED,False,0.6993440463894272,False,reverse-nodes-in-k-group,https://leetcode.cn/problems/reverse-nodes-in-k-group/description/,递归;链表
26,26,Remove Duplicates from Sorted Array,删除有序数组中的重复项,EASY,SOLVED,False,0.58514637919448,False,remove-duplicates-from-sorted-array,https://leetcode.cn/problems/remove-duplicates-from-sorted-array/description/,数组;双指针
27,27,Remove Element,移除元素,EASY,SOLVED,False,0.6021429788743229,False,remove-element,https://leetcode.cn/problems/remove-element/description/,数组;双指针
28,28,Find the Index of the First Occurrence in a String,找出字符串中第一个匹配项的下标,EASY,SOLVED,False,0.4531450257001489,False,find-the-index-of-the-first-occurrence-in-a-string,https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string/description/,双指针;字符串;字符串匹配
29,29,Divide Two Integers,两数相除,MEDIUM,SOLVED,False,0.2253939018523766,False,divide-two-integers,https://leetcode.cn/problems/divide-two-integers/description/,位运算;数学
30,30,Substring with Concatenation of All Words,串联所有单词的子串,HARD,TO_DO,False,0.3819291452257868,False,substring-with-concatenation-of-all-words,https://leetcode.cn/problems/substring-with-concatenation-of-all-words/description/,哈希表;字符串;滑动窗口
31,31,Next Permutation,下一个排列,MEDIUM,TO_DO,False,0.42507623913372466,False,next-permutation,https://leetcode.cn/problems/next-permutation/description/,数组;双指针
32,32,Longest Valid Parentheses,最长有效括号,HARD,SOLVED,False,0.4171185698885883,False,longest-valid-parentheses,https://leetcode.cn/problems/longest-valid-parentheses/description/,栈;字符串;动态规划
33,33,Search in Rotated Sorted Array,搜索旋转排序数组,MEDIUM,TO_DO,False,0.4599243721134411,False,search-in-rotated-sorted-array,https://leetcode.cn/problems/search-in-rotated-sorted-array/description/,数组;二分查找
34,34,Find First and Last Position of Element in Sorted Array,在排序数组中查找元素的第一个和最后一个位置,MEDIUM,TO_DO,False,0.46510663265466207,False,find-first-and-last-position-of-element-in-sorted-array,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/description/,数组;二分查找
35,35,Search Insert Position,搜索插入位置,EASY,ATTEMPTED,False,0.49332289389562295,False,search-insert-position,https://leetcode.cn/problems/search-insert-position/description/,数组;二分查找
36,36,Valid Sudoku,有效的数独,MEDIUM,TO_DO,False,0.648602475055859,False,valid-sudoku,https://leetcode.cn/problems/valid-sudoku/description/,数组;哈希表;矩阵
37,37,Sudoku Solver,解数独,HARD,SOLVED,False,0.6726645915747963,False,sudoku-solver,https://leetcode.cn/problems/sudoku-solver/description/,数组;哈希表;回溯;矩阵
38,38,Count and Say,外观数列,MEDIUM,SOLVED,False,0.6174669404692498,False,count-and-say,https://leetcode.cn/problems/count-and-say/description/,字符串
39,39,Combination Sum,组合总和,MEDIUM,SOLVED,False,0.7407523069071392,False,combination-sum,https://leetcode.cn/problems/combination-sum/description/,数组;回溯
40,40,Combination Sum II,组合总和 II,MEDIUM,TO_DO,False,0.6008004650668969,False,combination-sum-ii,https://leetcode.cn/problems/combination-sum-ii/description/,数组;回溯
41,41,First Missing Positive,缺失的第一个正数,HARD,TO_DO,False,0.49088752768229466,False,first-missing-positive,https://leetcode.cn/problems/first-missing-positive/description/,数组;哈希表
42,42,Trapping Rain Water,接雨水,HARD,SOLVED,False,0.659459715811581,False,trapping-rain-water,https://leetcode.cn/problems/trapping-rain-water/description/,栈;数组;双指针;动态规划;单调栈
43,43,Multiply Strings,字符串相乘,MEDIUM,TO_DO,False,0.44994236785773095,False,multiply-strings,https://leetcode.cn/problems/multiply-strings/description/,数学;字符串;模拟
44,44,Wildcard Matching,通配符匹配,HARD,TO_DO,False,0.3477374954600907,False,wildcard-matching,https://leetcode.cn/problems/wildcard-matching/description/,贪心;递归;字符串;动态规划
45,45,Jump Game II,跳跃游戏 II,MEDIUM,SOLVED,False,0.4565515567063263,False,jump-game-ii,https://leetcode.cn/problems/jump-game-ii/description/,贪心;数组;动态规划
46,46,Permutations,全排列,MEDIUM,SOLVED,False,0.8033968753430171,False,permutations,https://leetcode.cn/problems/permutations/description/,数组;回溯
47,47,Permutations II,全排列 II,MEDIUM,SOLVED,False,0.6680292612882988,False,permutations-ii,https://leetcode.cn/problems/permutations-ii/description/,数组;回溯;排序
48,48,Rotate Image,旋转图像,MEDIUM,TO_DO,False,0.7930861694400341,False,rotate-image,https://leetcode.cn/problems/rotate-image/description/,数组;数学;矩阵
49,49,Group Anagrams,字母异位词分组,MEDIUM,TO_DO,False,0.6964876958716699,False,group-anagrams,https://leetcode.cn/problems/group-anagrams/description/,数组;哈希表;字符串;排序
50,50,"Pow(x, n)","Pow(x, n)",MEDIUM,SOLVED,False,0.39135844111320617,False,powx-n,https://leetcode.cn/problems/powx-n/description/,递归;数学
51,51,N-Queens,N 皇后,HARD,SOLVED,False,0.7542430468031233,False,n-queens,https://leetcode.cn/problems/n-queens/description/,数组;回溯
52,52,N-Queens II,N 皇后 II,HARD,SOLVED,False,0.8300420411154396,False,n-queens-ii,https://leetcode.cn/problems/n-queens-ii/description/,回溯
53,53,Maximum Subarray,最大子数组和,MEDIUM,SOLVED,False,0.5661073830022476,False,maximum-subarray,https://leetcode.cn/problems/maximum-subarray/description/,数组;分治;动态规划
54,54,Spiral Matrix,螺旋矩阵,MEDIUM,TO_DO,False,0.5503685826115733,False,spiral-matrix,https://leetcode.cn/problems/spiral-matrix/description/,数组;矩阵;模拟
55,55,Jump Game,跳跃游戏,MEDIUM,SOLVED,False,0.44770281483297114,False,jump-game,https://leetcode.cn/problems/jump-game/description/,贪心;数组;动态规划
56,56,Merge Intervals,合并区间,MEDIUM,SOLVED,False,0.5329956996841831,False,merge-intervals,https://leetcode.cn/problems/merge-intervals/description/,数组;排序
57,57,Insert Interval,插入区间,MEDIUM,TO_DO,False,0.4299531750667013,False,insert-interval,https://leetcode.cn/problems/insert-interval/description/,数组
58,58,Length of Last Word,最后一个单词的长度,EASY,SOLVED,False,0.4868224723525172,False,length-of-last-word,https://leetcode.cn/problems/length-of-last-word/description/,字符串
59,59,Spiral Matrix II,螺旋矩阵 II,MEDIUM,TO_DO,False,0.6947338248173364,False,spiral-matrix-ii,https://leetcode.cn/problems/spiral-matrix-ii/description/,数组;矩阵;模拟
60,60,Permutation Sequence,排列序列,HARD,TO_DO,False,0.5464447288079237,False,permutation-sequence,https://leetcode.cn/problems/permutation-sequence/description/,递归;数学
61,61,Rotate List,旋转链表,MEDIUM,TO_DO,False,0.41463655655774356,False,rotate-list,https://leetcode.cn/problems/rotate-list/description/,链表;双指针
62,62,Unique Paths,不同路径,MEDIUM,SOLVED,False,0.7020027910657464,False,unique-paths,https://leetcode.cn/problems/unique-paths/description/,数学;动态规划;组合数学
63,63,Unique Paths II,不同路径 II,MEDIUM,SOLVED,False,0.4253107627640054,False,unique-paths-ii,https://leetcode.cn/problems/unique-paths-ii/description/,数组;动态规划;矩阵
64,64,Minimum Path Sum,最小路径和,MEDIUM,SOLVED,False,0.7248559462229853,False,minimum-path-sum,https://leetcode.cn/problems/minimum-path-sum/description/,数组;动态规划;矩阵
65,65,Valid Number,有效数字,HARD,SOLVED,False,0.28199488068697875,False,valid-number,https://leetcode.cn/problems/valid-number/description/,字符串
66,66,Plus One,加一,EASY,SOLVED,False,0.47413381900177787,False,plus-one,https://leetcode.cn/problems/plus-one/description/,数组;数学
67,67,Add Binary,二进制求和,EASY,TO_DO,False,0.5435479978697201,False,add-binary,https://leetcode.cn/problems/add-binary/description/,位运算;数学;字符串;模拟
68,68,Text Justification,文本左右对齐,HARD,TO_DO,False,0.5718352974403593,False,text-justification,https://leetcode.cn/problems/text-justification/description/,数组;字符串;模拟
69,69,Sqrt(x),x 的平方根 ,EASY,SOLVED,False,0.3889913535940883,False,sqrtx,https://leetcode.cn/problems/sqrtx/description/,数学;二分查找
70,70,Climbing Stairs,爬楼梯,EASY,SOLVED,False,0.556475629659801,False,climbing-stairs,https://leetcode.cn/problems/climbing-stairs/description/,记忆化;数学;动态规划
71,71,Simplify Path,简化路径,MEDIUM,SOLVED,False,0.4834346105313931,False,simplify-path,https://leetcode.cn/problems/simplify-path/description/,栈;字符串
72,72,Edit Distance,编辑距离,MEDIUM,TO_DO,False,0.6406350910448136,False,edit-distance,https://leetcode.cn/problems/edit-distance/description/,字符串;动态规划
73,73,Set Matrix Zeroes,矩阵置零,MEDIUM,TO_DO,False,0.7155451293532058,False,set-matrix-zeroes,https://leetcode.cn/problems/set-matrix-zeroes/description/,数组;哈希表;矩阵
74,74,Search a 2D Matrix,搜索二维矩阵,MEDIUM,SOLVED,False,0.5244150253229667,False,search-a-2d-matrix,https://leetcode.cn/problems/search-a-2d-matrix/description/,数组;二分查找;矩阵
75,75,Sort Colors,颜色分类,MEDIUM,TO_DO,False,0.6360961632633239,False,sort-colors,https://leetcode.cn/problems/sort-colors/description/,数组;双指针;排序
76,76,Minimum Window Substring,最小覆盖子串,HARD,TO_DO,False,0.49059403202005497,False,minimum-window-substring,https://leetcode.cn/problems/minimum-window-substring/description/,哈希表;字符串;滑动窗口
77,77,Combinations,组合,MEDIUM,TO_DO,False,0.7750664262228147,False,combinations,https://leetcode.cn/problems/combinations/description/,回溯
78,78,Subsets,子集,MEDIUM,TO_DO,False,0.8203048037709867,False,subsets,https://leetcode.cn/problems/subsets/description/,位运算;数组;回溯
79,79,Word Search,单词搜索,MEDIUM,TO_DO,False,0.5077965268820035,False,word-search,https://leetcode.cn/problems/word-search/description/,深度优先搜索;数组;字符串;回溯;矩阵
80,80,Remove Duplicates from Sorted Array II,删除有序数组中的重复项 II,MEDIUM,TO_DO,False,0.6345452428814866,False,remove-duplicates-from-sorted-array-ii,https://leetcode.cn/problems/remove-duplicates-from-sorted-array-ii/description/,数组;双指针
81,81,Search in Rotated Sorted Array II,搜索旋转排序数组 II,MEDIUM,TO_DO,False,0.4152812512249618,False,search-in-rotated-sorted-array-ii,https://leetcode.cn/problems/search-in-rotated-sorted-array-ii/description/,数组;二分查找
82,82,Remove Duplicates from Sorted List II,删除排序链表中的重复元素 II,MEDIUM,ATTEMPTED,False,0.5536944177720877,False,remove-duplicates-from-sorted-list-ii,https://leetcode.cn/problems/remove-duplicates-from-sorted-list-ii/description/,链表;双指针
83,83,Remove Duplicates from Sorted List,删除排序链表中的重复元素,EASY,TO_DO,False,0.5478848212567747,False,remove-duplicates-from-sorted-list,https://leetcode.cn/problems/remove-duplicates-from-sorted-list/description/,链表
84,84,Largest Rectangle in Histogram,柱状图中最大的矩形,HARD,TO_DO,False,0.4916860374499324,False,largest-rectangle-in-histogram,https://leetcode.cn/problems/largest-rectangle-in-histogram/description/,栈;数组;单调栈
85,85,Maximal Rectangle,最大矩形,HARD,TO_DO,False,0.5680986412522727,False,maximal-rectangle,https://leetcode.cn/problems/maximal-rectangle/description/,栈;数组;动态规划;矩阵;单调栈
86,86,Partition List,分隔链表,MEDIUM,TO_DO,False,0.6583834806688679,False,partition-list,https://leetcode.cn/problems/partition-list/description/,链表;双指针
87,87,Scramble String,扰乱字符串,HARD,TO_DO,False,0.47360769260199204,False,scramble-string,https://leetcode.cn/problems/scramble-string/description/,字符串;动态规划
88,88,Merge Sorted Array,合并两个有序数组,EASY,TO_DO,False,0.5500061076350373,False,merge-sorted-array,https://leetcode.cn/problems/merge-sorted-array/description/,数组;双指针;排序
89,89,Gray Code,格雷编码,MEDIUM,SOLVED,False,0.7521298112282422,False,gray-code,https://leetcode.cn/problems/gray-code/description/,位运算;数学;回溯
90,90,Subsets II,子集 II,MEDIUM,TO_DO,False,0.6399238184399498,False,subsets-ii,https://leetcode.cn/problems/subsets-ii/description/,位运算;数组;回溯
91,91,Decode Ways,解码方法,MEDIUM,TO_DO,False,0.3497236943778831,False,decode-ways,https://leetcode.cn/problems/decode-ways/description/,字符串;动态规划
92,92,Reverse Linked List II,反转链表 II,MEDIUM,TO_DO,False,0.581533272880574,False,reverse-linked-list-ii,https://leetcode.cn/problems/reverse-linked-list-ii/description/,链表
93,93,Restore IP Addresses,复原 IP 地址,MEDIUM,TO_DO,False,0.62149356738145,False,restore-ip-addresses,https://leetcode.cn/problems/restore-ip-addresses/description/,字符串;回溯
94,94,Binary Tree Inorder Traversal,二叉树的中序遍历,EASY,SOLVED,False,0.7832788535274309,False,binary-tree-inorder-traversal,https://leetcode.cn/problems/binary-tree-inorder-traversal/description/,栈;树;深度优先搜索;二叉树
95,95,Unique Binary Search Trees II,不同的二叉搜索树 II,MEDIUM,TO_DO,False,0.7467363101626071,False,unique-binary-search-trees-ii,https://leetcode.cn/problems/unique-binary-search-trees-ii/description/,树;二叉搜索树;动态规划;回溯;二叉树
96,96,Unique Binary Search Trees,不同的二叉搜索树,MEDIUM,SOLVED,False,0.7142650511111851,False,unique-binary-search-trees,https://leetcode.cn/problems/unique-binary-search-trees/description/,树;二叉搜索树;数学;动态规划;二叉树
97,97,Interleaving String,交错字符串,MEDIUM,TO_DO,False,0.4674408492355885,False,interleaving-string,https://leetcode.cn/problems/interleaving-string/description/,字符串;动态规划
98,98,Validate Binary Search Tree,验证二叉搜索树,MEDIUM,SOLVED,False,0.4076721115518141,False,validate-binary-search-tree,https://leetcode.cn/problems/validate-binary-search-tree/description/,树;深度优先搜索;二叉搜索树;二叉树
99,99,Recover Binary Search Tree,恢复二叉搜索树,MEDIUM,TO_DO,False,0.616867327585608,False,recover-binary-search-tree,https://leetcode.cn/problems/recover-binary-search-tree/description/,树;深度优先搜索;二叉搜索树;二叉树
100,100,Same Tree,相同的树,EASY,SOLVED,False,0.6391772051641955,False,same-tree,https://leetcode.cn/problems/same-tree/description/,树;深度优先搜索;广度优先搜索;二叉树
101,101,Symmetric Tree,对称二叉树,EASY,SOLVED,False,0.6347318383551551,False,symmetric-tree,https://leetcode.cn/problems/symmetric-tree/description/,树;深度优先搜索;广度优先搜索;二叉树
102,102,Binary Tree Level Order Traversal,二叉树的层序遍历,MEDIUM,SOLVED,False,0.706083268948634,False,binary-tree-level-order-traversal,https://leetcode.cn/problems/binary-tree-level-order-traversal/description/,树;广度优先搜索;二叉树
103,103,Binary Tree Zigzag Level Order Traversal,二叉树的锯齿形层序遍历,MEDIUM,TO_DO,False,0.6089379595332509,False,binary-tree-zigzag-level-order-traversal,https://leetcode.cn/problems/binary-tree-zigzag-level-order-traversal/description/,树;广度优先搜索;二叉树
104,104,Maximum Depth of Binary Tree,二叉树的最大深度,EASY,SOLVED,False,0.7898103276536621,False,maximum-depth-of-binary-tree,https://leetcode.cn/problems/maximum-depth-of-binary-tree/description/,树;深度优先搜索;广度优先搜索;二叉树
105,105,Construct Binary Tree from Preorder and Inorder Traversal,从前序与中序遍历序列构造二叉树,MEDIUM,SOLVED,False,0.7330064051949707,False,construct-binary-tree-from-preorder-and-inorder-traversal,https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/,树;数组;哈希表;分治;二叉树
106,106,Construct Binary Tree from Inorder and Postorder Traversal,从中序与后序遍历序列构造二叉树,MEDIUM,TO_DO,False,0.7307407688120552,False,construct-binary-tree-from-inorder-and-postorder-traversal,https://leetcode.cn/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/,树;数组;哈希表;分治;二叉树
107,107,Binary Tree Level Order Traversal II,二叉树的层序遍历 II,MEDIUM,SOLVED,False,0.7558086584771323,False,binary-tree-level-order-traversal-ii,https://leetcode.cn/problems/binary-tree-level-order-traversal-ii/description/,树;广度优先搜索;二叉树
108,108,Convert Sorted Array to Binary Search Tree,将有序数组转换为二叉搜索树,EASY,TO_DO,False,0.807073948773122,False,convert-sorted-array-to-binary-search-tree,https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/description/,树;二叉搜索树;数组;分治;二叉树
109,109,Convert Sorted List to Binary Search Tree,有序链表转换二叉搜索树,MEDIUM,TO_DO,False,0.7718055073058233,False,convert-sorted-list-to-binary-search-tree,https://leetcode.cn/problems/convert-sorted-list-to-binary-search-tree/description/,树;二叉搜索树;链表;分治;二叉树
110,110,Balanced Binary Tree,平衡二叉树,EASY,SOLVED,False,0.6006698272906733,False,balanced-binary-tree,https://leetcode.cn/problems/balanced-binary-tree/description/,树;深度优先搜索;二叉树
111,111,Minimum Depth of Binary Tree,二叉树的最小深度,EASY,SOLVED,False,0.5679048162541804,False,minimum-depth-of-binary-tree,https://leetcode.cn/problems/minimum-depth-of-binary-tree/description/,树;深度优先搜索;广度优先搜索;二叉树
112,112,Path Sum,路径总和,EASY,SOLVED,False,0.5589544194449089,False,path-sum,https://leetcode.cn/problems/path-sum/description/,树;深度优先搜索;广度优先搜索;二叉树
113,113,Path Sum II,路径总和 II,MEDIUM,SOLVED,False,0.6420976466331942,False,path-sum-ii,https://leetcode.cn/problems/path-sum-ii/description/,树;深度优先搜索;回溯;二叉树
114,114,Flatten Binary Tree to Linked List,二叉树展开为链表,MEDIUM,TO_DO,False,0.7618716539721581,False,flatten-binary-tree-to-linked-list,https://leetcode.cn/problems/flatten-binary-tree-to-linked-list/description/,栈;树;深度优先搜索;链表;二叉树
115,115,Distinct Subsequences,不同的子序列,HARD,ATTEMPTED,False,0.534611654579187,False,distinct-subsequences,https://leetcode.cn/problems/distinct-subsequences/description/,字符串;动态规划
116,116,Populating Next Right Pointers in Each Node,填充每个节点的下一个右侧节点指针,MEDIUM,TO_DO,False,0.7477207690807643,False,populating-next-right-pointers-in-each-node,https://leetcode.cn/problems/populating-next-right-pointers-in-each-node/description/,树;深度优先搜索;广度优先搜索;链表;二叉树
117,117,Populating Next Right Pointers in Each Node II,填充每个节点的下一个右侧节点指针 II,MEDIUM,TO_DO,False,0.7273513373726925,False,populating-next-right-pointers-in-each-node-ii,https://leetcode.cn/problems/populating-next-right-pointers-in-each-node-ii/description/,树;深度优先搜索;广度优先搜索;链表;二叉树
118,118,Pascal's Triangle,杨辉三角,EASY,SOLVED,False,0.7799017909862112,False,pascals-triangle,https://leetcode.cn/problems/pascals-triangle/description/,数组;动态规划
119,119,Pascal's Triangle II,杨辉三角 II,EASY,SOLVED,False,0.6964134837250363,False,pascals-triangle-ii,https://leetcode.cn/problems/pascals-triangle-ii/description/,数组;动态规划
120,120,Triangle,三角形最小路径和,MEDIUM,TO_DO,False,0.6970144070938051,False,triangle,https://leetcode.cn/problems/triangle/description/,数组;动态规划
121,121,Best Time to Buy and Sell Stock,买卖股票的最佳时机,EASY,SOLVED,False,0.5976385172047495,False,best-time-to-buy-and-sell-stock,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/description/,数组;动态规划
122,122,Best Time to Buy and Sell Stock II,买卖股票的最佳时机 II,MEDIUM,SOLVED,False,0.7566450893081508,False,best-time-to-buy-and-sell-stock-ii,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/description/,贪心;数组;动态规划
123,123,Best Time to Buy and Sell Stock III,买卖股票的最佳时机 III,HARD,SOLVED,False,0.6274758760792281,False,best-time-to-buy-and-sell-stock-iii,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii/description/,数组;动态规划
124,124,Binary Tree Maximum Path Sum,二叉树中的最大路径和,HARD,TO_DO,False,0.47897544922584745,False,binary-tree-maximum-path-sum,https://leetcode.cn/problems/binary-tree-maximum-path-sum/description/,树;深度优先搜索;动态规划;二叉树
125,125,Valid Palindrome,验证回文串,EASY,TO_DO,False,0.48816138721632746,False,valid-palindrome,https://leetcode.cn/problems/valid-palindrome/description/,双指针;字符串
126,126,Word Ladder II,单词接龙 II,HARD,TO_DO,False,0.3661220119763056,False,word-ladder-ii,https://leetcode.cn/problems/word-ladder-ii/description/,广度优先搜索;哈希表;字符串;回溯
127,127,Word Ladder,单词接龙,HARD,TO_DO,False,0.5033348554147422,False,word-ladder,https://leetcode.cn/problems/word-ladder/description/,广度优先搜索;哈希表;字符串
128,128,Longest Consecutive Sequence,最长连续序列,MEDIUM,SOLVED,False,0.49078590749999834,False,longest-consecutive-sequence,https://leetcode.cn/problems/longest-consecutive-sequence/description/,并查集;数组;哈希表
129,129,Sum Root to Leaf Numbers,求根节点到叶节点数字之和,MEDIUM,TO_DO,False,0.7191639977223326,False,sum-root-to-leaf-numbers,https://leetcode.cn/problems/sum-root-to-leaf-numbers/description/,树;深度优先搜索;二叉树
130,130,Surrounded Regions,被围绕的区域,MEDIUM,TO_DO,False,0.47558349141138373,False,surrounded-regions,https://leetcode.cn/problems/surrounded-regions/description/,深度优先搜索;广度优先搜索;并查集;数组;矩阵
131,131,Palindrome Partitioning,分割回文串,MEDIUM,TO_DO,False,0.7516325313183535,False,palindrome-partitioning,https://leetcode.cn/problems/palindrome-partitioning/description/,字符串;动态规划;回溯
132,132,Palindrome Partitioning II,分割回文串 II,HARD,TO_DO,False,0.5111458390996462,False,palindrome-partitioning-ii,https://leetcode.cn/problems/palindrome-partitioning-ii/description/,字符串;动态规划
133,133,Clone Graph,克隆图,MEDIUM,TO_DO,False,0.7392472346957807,False,clone-graph,https://leetcode.cn/problems/clone-graph/description/,深度优先搜索;广度优先搜索;图;哈希表
134,134,Gas Station,加油站,MEDIUM,TO_DO,False,0.4737887081200961,False,gas-station,https://leetcode.cn/problems/gas-station/description/,贪心;数组
135,135,Candy,分发糖果,HARD,TO_DO,False,0.48718005504472633,False,candy,https://leetcode.cn/problems/candy/description/,贪心;数组
136,136,Single Number,只出现一次的数字,EASY,SOLVED,False,0.765199367290176,False,single-number,https://leetcode.cn/problems/single-number/description/,位运算;数组
137,137,Single Number II,只出现一次的数字 II,MEDIUM,SOLVED,False,0.7254086776598693,False,single-number-ii,https://leetcode.cn/problems/single-number-ii/description/,位运算;数组
138,138,Copy List with Random Pointer,随机链表的复制,MEDIUM,TO_DO,False,0.7058926722951111,False,copy-list-with-random-pointer,https://leetcode.cn/problems/copy-list-with-random-pointer/description/,哈希表;链表
139,139,Word Break,单词拆分,MEDIUM,TO_DO,False,0.600244049509225,False,word-break,https://leetcode.cn/problems/word-break/description/,字典树;记忆化;数组;哈希表;字符串;动态规划
140,140,Word Break II,单词拆分 II,HARD,TO_DO,False,0.6124107311147877,False,word-break-ii,https://leetcode.cn/problems/word-break-ii/description/,字典树;记忆化;数组;哈希表;字符串;动态规划;回溯
141,141,Linked List Cycle,环形链表,EASY,SOLVED,False,0.5461294827020609,False,linked-list-cycle,https://leetcode.cn/problems/linked-list-cycle/description/,哈希表;链表;双指针
142,142,Linked List Cycle II,环形链表 II,MEDIUM,SOLVED,False,0.6279687722278023,False,linked-list-cycle-ii,https://leetcode.cn/problems/linked-list-cycle-ii/description/,哈希表;链表;双指针
143,143,Reorder List,重排链表,MEDIUM,TO_DO,False,0.6785080525260664,False,reorder-list,https://leetcode.cn/problems/reorder-list/description/,栈;递归;链表;双指针
144,144,Binary Tree Preorder Traversal,二叉树的前序遍历,EASY,SOLVED,False,0.7341954822824108,False,binary-tree-preorder-traversal,https://leetcode.cn/problems/binary-tree-preorder-traversal/description/,栈;树;深度优先搜索;二叉树
145,145,Binary Tree Postorder Traversal,二叉树的后序遍历,EASY,SOLVED,False,0.7787087297036158,False,binary-tree-postorder-traversal,https://leetcode.cn/problems/binary-tree-postorder-traversal/description/,栈;树;深度优先搜索;二叉树
